영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국 스크린수,전국 매출액,전국 관객수,서울 매출액,서울 관객수,장르,등급,영화구분
서울의 봄,김성수,(주)하이브미디어코프,,플러스엠 엔터테인먼트,2023-11-22,개봉영화,장편,한국,2328,1.27927E+11,13128022,29336996104,2956527,드라마,12세이상관람가,일반영화
파묘,장재현,(주)쇼박스,,(주)쇼박스,2024-02-22,개봉영화,장편,한국,2355,1.14631E+11,11860088,26825097498,2707856,미스터리,15세이상관람가,일반영화
범죄도시4,허명행,"주식회사 빅펀치픽쳐스,(주)홍필름,(주)비에이엔터테인먼트",,"주식회사 에이비오엔터테인먼트,플러스엠 엔터테인먼트",2024-04-24,개봉영화,장편,한국,2980,47570156254,5005512,9997331476,1015411,액션,15세이상관람가,일반영화
노량: 죽음의 바다,김한민,(주)빅스톤픽쳐스,,"롯데컬처웍스(주)롯데엔터테인먼트,(주)에이스메이커무비웍스",2023-12-20,개봉영화,장편,한국,2196,45002693027,4572561,9860710267,970404,사극,12세이상관람가,일반영화
시민덕희,박영주,"(주)씨제스엔터테인먼트,페이지원필름(주)",,(주)쇼박스,2024-01-24,개봉영화,장편,한국,1272,16114821097,1706676,3304172645,343519,드라마,15세이상관람가,일반영화
외계+인 2부,최동훈,(주)케이퍼필름,,(주)씨제이이엔엠,2024-01-10,개봉영화,장편,한국,1390,13792326337,1430121,3321420005,330032,기타,12세이상관람가,일반영화
건국전쟁,김덕영,다큐스토리,,다큐스토리,2024-02-01,개봉영화,장편,한국,224,10882262514,1171207,3245676032,349078,다큐멘터리,12세이상관람가,일반영화
댓글부대,안국진,(주)영화적순간,,(주)에이스메이커무비웍스,2024-03-27,개봉영화,장편,한국,1228,9227928211,971096,2457477866,245936,범죄,15세이상관람가,일반영화
3일의 휴가,육상효,글뫼 주식회사,,(주)쇼박스,2023-12-06,개봉영화,장편,한국,863,4916115417,524828,1087727701,114759,판타지,12세이상관람가,일반영화
소년들,정지영,"(주)아우라픽처스,(주)씨제이이엔엠",,(주)씨제이이엔엠,2023-11-01,개봉영화,장편,한국,1042,4303729586,452858,863053636,88316,드라마,15세이상관람가,일반영화
싱글 인 서울,박범수,"(주)디씨지플러스,(주)명필름,(주)인사이트필름",,롯데컬처웍스(주)롯데엔터테인먼트,2023-11-29,개봉영화,장편,한국,917,3748567012,400651,1359848882,139476,멜로/로맨스,12세이상관람가,일반영화
