,영화명,감독,배우
1,서울의 봄,김성수,황정민
2,서울의 봄,김성수,정우성
3,서울의 봄,김성수,이성민
4,파묘,장재현,최민식
5,파묘,장재현,김고은
6,파묘,장재현,유해진
7,범죄도시4,허명행,마동석
8,범죄도시4,허명행,김무열
9,범죄도시4,허명행,박지환
10,노량: 죽음의 바다,김한민,김윤석
11,노량: 죽음의 바다,김한민,백윤식
12,노량: 죽음의 바다,김한민,정재영
13,시민덕희,박영주,라미란
14,시민덕희,박영주,공명
15,시민덕희,박영주,염혜란
16,외계+인 2부,최동훈,류준열
17,외계+인 2부,최동훈,김태리
18,외계+인 2부,최동훈,김우빈
19,건국전쟁,김덕영,데이빗 필즈
20,건국전쟁,김덕영,이호
21,댓글부대,안국진,손석구
22,댓글부대,안국진,김성철
23,댓글부대,안국진,김동휘
24,3일의 휴가,육상효,김해숙
25,3일의 휴가,육상효,신민아
26,3일의 휴가,육상효,강기영
27,소년들,정지영,설경구
28,소년들,정지영,유준상
29,소년들,정지영,진경
30,싱글 인 서울,박범수,이동욱
31,싱글 인 서울,박범수,임수정
32,싱글 인 서울,박범수,이솜
33,도그데이즈,김덕민,윤여정
34,도그데이즈,김덕민,유해진
35,도그데이즈,김덕민,김윤진
36,소풍,김용균,나문희
37,소풍,김용균,김영옥
38,소풍,김용균,박근형
39,30일,남대중,강하늘
40,30일,남대중,정소민
41,데드맨,하준원,조진웅
42,데드맨,하준원,김희애
43,데드맨,하준원,이수경
44,브레드이발소: 셀럽 인 베이커리타운,정지환,엄상현
45,브레드이발소: 셀럽 인 베이커리타운,정지환,박윤희
46,브레드이발소: 셀럽 인 베이커리타운,정지환,강시현
47,길위에 김대중,민환기,김대중
48,뉴 노멀,정범식,최지우
49,뉴 노멀,정범식,이유미
50,뉴 노멀,정범식,최민호
51,용감한 시민,박진표,신혜선
52,용감한 시민,박진표,이준영
53,용감한 시민,박진표,박정우
54,더 와일드: 야수들의 전쟁,김봉한,박성웅
55,더 와일드: 야수들의 전쟁,김봉한,오대환
56,더 와일드: 야수들의 전쟁,김봉한,오달수
57,1980,강승용,강신일
58,1980,강승용,김규리
59,1980,강승용,백성현
60,씬,한동석,김윤혜
61,씬,한동석,송이재
62,씬,한동석,박지훈
63,1947 보스톤,강제규,하정우
64,1947 보스톤,강제규,임시완
65,1947 보스톤,강제규,배성우
66,극장판 우당탕탕 은하안전단: 진정한 용기!,정지훈,김은아
67,극장판 우당탕탕 은하안전단: 진정한 용기!,정지훈,엄상현
68,극장판 우당탕탕 은하안전단: 진정한 용기!,정지훈,신용우
69,슈가│어거스트 디 투어 ‘디-데이’ 더 무비,박준수,슈가
70,어른 김장하,김현지,김장하
71,어른 김장하,김현지,김주완
72,너와 나,조현철,박혜수
73,너와 나,조현철,김시은
74,사채소년,황동석,유선호
75,사채소년,황동석,강미나
76,사채소년,황동석,유인수
77,마이 샤이니 월드,이후빈,온유
78,마이 샤이니 월드,이후빈,종현
79,마이 샤이니 월드,이후빈,키
80,엔시티 네이션 : 투 더 월드 인 시네마,오윤동,쟈니
81,엔시티 네이션 : 투 더 월드 인 시네마,오윤동,태용
82,엔시티 네이션 : 투 더 월드 인 시네마,오윤동,유타
83,DMZ 동물 특공대,홍인표,김새해
84,DMZ 동물 특공대,홍인표,조경이
85,DMZ 동물 특공대,홍인표,황창영
86,목스박,고훈,오대환
87,목스박,고훈,지승현
88,목스박,고훈,이용규
89,바람 따라 만나리 : 김호중의 계절,오윤동,김호중
90,세계를 뒤흔든 43일,이규철,김명곤
91,괴인,이정홍,박기홍
92,괴인,이정홍,최경준
93,괴인,이정홍,안주민
94,세기말의 사랑,임선애,이유영
95,세기말의 사랑,임선애,임선우
96,세기말의 사랑,임선애,노재원
97,막걸리가 알려줄거야,김다민,박나은
98,막걸리가 알려줄거야,김다민,박효주
99,막걸리가 알려줄거야,김다민,김희원
100,만분의 일초,김성환,주종혁
101,만분의 일초,김성환,문진승
102,만분의 일초,김성환,이주연
103,어게인 1997,신승훈,조병규
104,어게인 1997,신승훈,한은수
