,전국 스크린수,전국 매출액,전국 관객수,서울 매출액,서울 관객수,director_rank,gr_rank,dis_rank,영화형태_단편,영화형태_옴니버스,영화형태_장편,영화구분_독립/예술영화,영화구분_일반영화,등급_12세이상관람가,등급_15세이상관람가,"등급_연소자관람불가,청소년관람불가",등급_전체관람가,등급_청소년관람불가
0,2328,127927000000.0,13128022,29336996104,2956527,3.0,9.0,4.0,0,0,1,0,1,1,0,0,0,0
1,2355,114631000000.0,11860088,26825097498,2707856,1.0,4.0,3.0,0,0,1,0,1,0,1,0,0,0
2,2980,47570156254.0,5005512,9997331476,1015411,4.0,2.0,1.0,0,0,1,0,1,0,1,0,0,0
3,2196,45002693027.0,4572561,9860710267,970404,7.0,3.0,2.0,0,0,1,0,1,1,0,0,0,0
4,1272,16114821097.0,1706676,3304172645,343519,16.0,9.0,3.0,0,0,1,0,1,0,1,0,0,0
5,1390,13792326337.0,1430121,3321420005,330032,19.0,14.0,6.0,0,0,1,0,1,1,0,0,0,0
6,224,10882262514.0,1171207,3245676032,349078,46.0,15.0,9.0,0,0,1,0,1,1,0,0,0,0
7,1228,9227928211.0,971096,2457477866,245936,26.0,1.0,15.0,0,0,1,0,1,0,1,0,0,0
8,863,4916115417.0,524828,1087727701,114759,51.0,5.0,3.0,0,0,1,0,1,1,0,0,0,0
9,1042,4303729586.0,452858,863053636,88316,56.0,9.0,6.0,0,0,1,0,1,0,1,0,0,0
10,917,3748567012.0,400651,1359848882,139476,62.0,18.0,7.0,0,0,1,0,1,1,0,0,0,0
11,850,3528993203.0,386814,451402165,46970,64.0,10.0,43.0,0,0,1,0,1,0,0,0,1,0
12,847,3474313608.0,357026,835943314,82335,67.0,9.0,6.0,0,0,1,0,1,1,0,0,0,0
13,729,3070917943.0,344904,764110416,85855,68.0,9.0,7.0,0,0,1,1,0,1,0,0,0,0
14,1226,2772834894.0,285237,682448187,68736,23.0,7.0,10.0,0,0,1,0,1,1,0,0,0,0
15,800,2257546704.0,236661,514590306,52144,72.0,1.0,4.0,0,0,1,0,1,0,1,0,0,0
16,342,1520790690.0,179110,267241920,30260,87.0,10.0,7.0,0,0,1,0,1,0,0,0,1,0
17,414,1094907609.0,114077,337783602,34701,149.0,15.0,27.0,0,0,1,1,0,1,0,0,0,0
18,546,973948873.0,101636,308364559,31582,109.0,8.0,28.0,0,0,1,0,1,0,1,0,0,0
20,370,628774015.0,67840,120423064,12662,124.0,10.0,8.0,0,0,1,0,1,0,0,0,1,0
21,887,588872643.0,64683,95091041,10340,98.0,2.0,10.0,0,0,1,0,1,0,1,0,0,0
22,239,375383300.0,43300,73190600,8985,84.0,2.0,44.0,0,0,1,0,1,0,0,0,0,1
23,522,377395575.0,42425,111494655,12289,142.0,9.0,45.0,0,0,1,0,1,1,0,0,0,0
24,75,936338000.0,41021,505196500,22149,170.0,16.0,43.0,0,0,1,0,1,0,0,0,1,0
25,409,354647735.0,38225,111159024,12169,147.0,12.0,7.0,0,0,1,0,1,0,1,0,0,0
26,1282,257211218.0,35652,58122458,7764,54.0,9.0,11.0,0,0,1,0,1,1,0,0,0,0
