,영화명,제작사,전국 관객수,등급,영화구분,흥행,주연배우_흥행비율,director_rank,gr_rank,dis_rank
0,서울의 봄,137,13128022,0,1,Y,0.7222222222222222,3,10,4
1,파묘,59,11860088,1,1,Y,0.626984126984127,1,3,3
2,범죄도시4,243,5005512,1,1,Y,0.9166666666666666,4,4,1
3,노량: 죽음의 바다,53,4572561,0,1,Y,1.0,7,2,2
4,시민덕희,66,1706676,1,1,Y,0.3055555555555555,14,10,3
5,외계+인 2부,118,1430121,0,1,Y,1.0,16,9,6
6,건국전쟁,167,1171207,0,1,Y,0.3333333333333333,18,16,5
7,댓글부대,96,971096,1,1,Y,0.7777777777777778,22,1,12
8,3일의 휴가,160,524828,0,1,Y,1.0,33,6,3
9,소년들,71,452858,1,1,Y,0.9166666666666666,37,10,6
10,싱글 인 서울,22,400651,0,1,Y,0.6666666666666666,39,12,8
11,도그데이즈,67,357026,0,1,Y,0.7936507936507936,42,10,6
12,소풍,28,344904,0,0,Y,0.6666666666666666,43,10,8
13,30일,91,285237,0,1,N,0.41666666666666663,19,7,10
14,데드맨,132,236661,1,1,N,0.3333333333333333,45,1,4
15,브레드이발소: 셀럽 인 베이커리타운,151,179110,2,1,N,0.0,51,14,8
16,길위에 김대중,36,114077,0,0,N,0.0,62,16,19
17,뉴 노멀,213,101636,1,1,N,0.0,64,8,21
18,용감한 시민,200,64683,1,1,N,0.08333333333333333,55,4,10
19,더 와일드: 야수들의 전쟁,70,43300,3,1,N,0.0,74,4,28
20,1980,278,42425,0,1,N,0.0,75,10,29
21,씬,20,38225,1,1,N,0.0,77,13,8
22,1947 보스톤,51,35652,0,1,N,0.5555555555555555,34,10,11
23,극장판 우당탕탕 은하안전단: 진정한 용기!,31,34001,2,1,N,0.0,80,14,9
24,슈가│어거스트 디 투어 ‘디-데이’ 더 무비,136,31808,0,1,N,0.0,104,15,50
25,어른 김장하,147,29263,2,0,N,0.0,83,16,71
26,너와 나,252,29154,0,0,N,0.0,102,10,39
27,사채소년,2,26149,1,1,N,0.0,115,4,59
28,마이 샤이니 월드,268,25641,2,1,N,0.0,88,15,36
29,엔시티 네이션 : 투 더 월드 인 시네마,207,25140,2,1,N,0.0,72,15,40
30,DMZ 동물 특공대,236,21830,2,1,N,0.0,95,14,60
31,목스박,199,16776,1,1,N,0.0,135,4,67
32,바람 따라 만나리 : 김호중의 계절,207,15665,2,1,N,0.0,72,15,25
33,세계를 뒤흔든 43일,155,12395,2,0,N,0.0,116,16,77
34,괴인,218,12343,1,0,N,0.0,118,10,66
35,세기말의 사랑,12,11831,0,0,N,0.0,120,10,61
36,막걸리가 알려줄거야,74,11521,2,0,N,0.0,121,10,52
37,만분의 일초,271,11091,0,0,N,0.0,169,4,69
38,어게인 1997,25,10752,1,1,N,0.0,128,6,73
39,나의 피투성이 연인,255,10072,0,0,N,0.0,130,10,57
40,수라,198,9870,2,0,N,0.0,84,16,34
41,빅슬립,143,8730,1,0,N,0.0,134,10,75
42,화란,55,8064,1,1,N,0.0,56,10,4
43,아네모네,245,7724,1,0,N,0.0,139,7,79
44,땅에 쓰는 시,161,7374,2,0,N,0.0,143,16,66
45,화녀,48,7075,3,1,N,0.0,145,8,83
46,약속,46,7060,2,0,N,0.0,146,16,64
47,에픽하이 20 더 무비,79,6496,0,1,N,0.0,168,15,65
48,교토에서 온 편지,271,6022,0,0,N,0.0,150,10,63
49,돌핀,271,5498,0,0,N,0.0,156,10,93
50,오픈 더 도어,154,5246,1,1,N,0.0,52,3,58
51,홈그라운드,279,4485,0,0,N,0.0,162,16,100
52,여행자의 필요,97,4481,0,0,N,0.0,207,10,94
53,당신이 잠든 사이,25,4253,0,1,N,0.0,164,3,42
54,백남준: 달은 가장 오래된 TV,203,3960,0,0,N,0.0,171,16,70
55,뒤주,7,3855,1,1,N,0.0,63,13,78
56,신세계로부터,205,3784,0,0,N,0.0,177,10,91
57,언더 유어 베드,42,3774,3,1,N,0.0,178,8,72
58,두 사람을 위한 식탁,260,3764,0,0,N,0.0,159,16,91
59,느티나무 아래,228,3632,2,0,N,0.0,180,16,80
60,이어지는 땅,279,3555,0,0,N,0.0,182,10,91
61,검은 소년,271,3547,1,0,N,0.0,184,10,72
62,매트,211,3175,0,0,N,0.0,187,3,109
63,은하수,140,3067,0,0,N,0.0,190,10,51
64,정순,202,2977,1,0,N,0.08333333333333333,193,10,69
65,천박사 퇴마 연구소: 설경의 비밀,103,2409,0,1,N,0.611111111111111,23,6,6
66,5시부터 7시까지의 주희,40,2340,0,0,N,0.0,205,10,92
67,장인과 사위,113,2146,0,0,N,0.0,209,7,95
68,돌들이 말할 때까지,89,2058,0,0,N,0.0,212,16,97
69,달짝지근해: 7510,41,1835,0,1,N,0.5714285714285715,28,7,10
70,독친,43,1748,1,0,N,0.0,219,13,72
71,아버지의 마음,263,1744,2,1,N,0.0,108,16,44
72,수운잡방,146,1655,0,1,N,0.0,223,10,47
73,그림자 고백,68,1653,1,1,N,0.0,224,10,47
74,백지영 콘서트 인 시네마,79,1558,2,1,N,0.0,168,15,84
75,울산의 별,277,1514,1,0,N,0.08333333333333333,227,10,104
76,탄생,188,1489,0,1,N,0.2619047619047619,59,10,17
77,버텨내고 존재하기,279,1487,2,0,N,0.0,229,16,70
78,모르는 이야기,271,1289,0,0,N,0.0,237,6,93
79,세월: 라이프 고즈 온,173,1278,2,0,N,0.0,239,16,100
80,화사한 그녀,64,1278,0,1,N,0.0,76,7,27
81,벗어날 탈 脫,193,1187,1,0,N,0.0,241,3,100
82,너를 줍다,201,1168,0,0,N,0.0,242,12,104
83,다시 김대중-함께 합시다,88,912,0,0,N,0.0,252,16,113
84,무경계,3,898,2,0,N,0.0,255,16,110
85,물비늘,267,878,0,0,N,0.0,201,10,79
86,우리의 하루,97,878,0,0,N,0.0,207,10,94
87,르네에게,140,611,0,0,N,0.0,264,10,77
88,K스쿨,156,599,2,0,N,0.0,266,10,114
89,어느 날 그녀가 우주에서,223,523,0,0,N,0.0,275,12,87
90,밀수,103,517,1,1,N,0.5,8,4,9
91,미끼,72,507,1,1,N,0.0,277,10,83
92,간신의 피,185,442,1,0,N,0.0,282,4,121
93,믿을 수 있는 사람,271,392,0,0,N,0.0,199,10,75
94,핑크퐁 시네마 콘서트3 : 진저브레드맨을 잡아라,172,390,2,0,N,0.0,82,14,32
95,그날의 딸들,44,360,0,0,N,0.0,135,16,122
96,물꽃의 전설,279,317,2,0,N,0.0,215,16,66
97,8인의 용의자들,78,312,1,0,N,0.0,291,10,125
98,검치호,189,308,1,0,N,0.0,293,4,77
99,서바이벌 택틱스,232,279,0,0,N,0.0,295,10,91
100,물귀신,121,265,0,0,N,0.0,296,13,67
101,절해고도,190,257,0,0,N,0.0,217,10,98
102,비밀의 언덕,229,249,2,0,N,0.0,136,9,70
103,잠,29,154,1,1,N,0.3333333333333333,27,3,8
104,거미집,212,146,1,1,N,0.38888888888888884,63,7,13
105,타겟,95,114,1,1,N,0.4166666666666667,48,8,4
106,우리 돈 벌레,152,104,0,0,N,0.0,306,7,130
107,드라이브,197,98,0,0,N,0.0,307,12,131
108,지옥만세,271,63,0,0,N,0.0,147,18,75
109,런닝맨: 리벤져스,27,47,2,0,N,0.0,85,14,9
110,극장판 슈퍼윙스: 맥시멈 스피드,133,42,2,1,N,0.0,68,14,9
111,콘크리트 유토피아,258,25,1,1,N,0.6388888888888888,11,10,8
112,마인드 유니버스,158,19,0,0,N,0.0,289,11,59
113,"안녕, 내일 또 만나",29,5,0,0,N,0.0,269,10,115
114,잔고: 분노의 적자,162,3,0,0,N,0.0,244,19,99
115,폭로,25,3,0,0,N,0.0,189,1,73
116,범죄도시3,243,10682813,1,1,Y,0.5,2,1,1
117,밀수,103,5142702,1,1,Y,0.5,8,4,9
118,콘크리트 유토피아,258,3847041,1,1,Y,0.6388888888888888,11,10,8
119,천박사 퇴마 연구소: 설경의 비밀,103,1914020,0,1,Y,0.611111111111111,23,6,6
120,30일,91,1861665,0,1,Y,0.41666666666666663,19,7,10
121,잠,29,1462467,1,1,Y,0.3333333333333333,27,3,8
122,달짝지근해: 7510,41,1386474,0,1,Y,0.5714285714285715,28,7,10
123,비공식작전,102,1015453,0,1,Y,0.5833333333333333,20,10,3
124,1947 보스톤,51,991281,0,1,Y,0.5555555555555555,34,10,11
125,귀공자,80,682742,3,1,Y,1.0,12,4,9
126,드림,100,589218,0,1,Y,0.9166666666666666,32,7,4
127,더 문,206,486060,0,1,Y,0.75,36,11,6
128,타겟,95,424802,1,1,Y,0.4166666666666667,48,8,4
129,거미집,212,313540,1,1,N,0.38888888888888884,63,7,13
130,화란,55,255023,1,1,N,0.0,56,10,4
131,용감한 시민,200,202133,1,1,N,0.08333333333333333,55,4,10
132,극장판 슈퍼윙스: 맥시멈 스피드,133,135934,2,1,N,0.0,68,14,9
133,보호자,94,128084,1,1,N,0.0,58,4,12
134,문재인입니다,166,116934,0,0,N,0.0,60,16,18
135,옥수역귀신,93,101398,1,1,N,0.0,57,13,16
136,화사한 그녀,64,94868,0,1,N,0.0,76,7,27
137,악마들,119,79688,3,1,N,0.20000000000000004,67,4,24
138,핑크퐁 시네마 콘서트3 : 진저브레드맨을 잡아라,172,60626,2,0,N,0.0,82,14,32
139,런닝맨: 리벤져스,27,53890,2,0,N,0.0,85,14,9
140,수라,198,47571,2,0,N,0.0,84,16,34
141,바람 따라 만나리 : 김호중의 계절,207,40391,2,1,N,0.0,72,15,25
142,리바운드,52,39697,0,1,N,0.39999999999999997,52,10,13
143,롱디,261,35916,0,1,N,0.06666666666666667,78,12,9
144,아버지의 마음,263,27334,2,1,N,0.0,108,16,44
145,빈틈없는 사이,4,20926,1,1,N,0.0,98,12,37
146,킬링 로맨스,86,20421,1,1,N,0.3055555555555555,66,7,8
147,치악산,21,19852,1,0,N,0.0,101,13,47
148,비밀의 언덕,229,15921,2,0,N,0.0,136,9,70
149,지옥만세,271,13966,0,0,N,0.0,147,18,75
150,오픈 더 도어,154,13956,1,1,N,0.0,52,3,58
151,나는 여기에 있다,45,13758,1,1,N,0.06666666666666667,131,1,47
152,라방,227,13647,3,0,N,0.0,111,8,72
153,좋.댓.구,84,13376,1,0,N,0.0,114,7,48
154,드림팰리스,153,12087,0,0,N,0.0,119,10,79
155,비닐하우스,271,10923,1,0,N,0.0,126,1,72
156,그 여름,178,9229,0,0,N,0.0,132,14,63
157,너와 나,252,9064,0,0,N,0.0,102,10,39
158,스프린터,220,7647,0,0,N,0.0,141,10,62
159,탄생,188,6580,0,1,N,0.2619047619047619,59,10,17
160,폭로,25,6133,0,0,N,0.0,189,1,73
161,두 사람을 위한 식탁,260,5947,0,0,N,0.0,159,16,91
162,차박- 살인과 낭만의 밤,124,5678,1,0,N,0.0,152,8,56
